x1,x2
-0.715366258,3.193350791
0.505650167,3.872541394
2.171956844,5.251319387
0.354528895,3.679159093
-0.398294242,3.484914762
0.000724929,1.918943746
2.137331533,4.113065079
1.213412839,3.566363036
-0.123927028,3.366401283
-0.246870232,2.321018232
0.222857897,3.218724439
1.650786074,5.553479514
1.504918358,3.904372607
-0.870175023,2.773207231
3.119016285,5.199430978
2.622915942,4.597976757
1.523322577,5.809640332
0.852588666,3.458468512
0.416392401,3.408660561
1.156694776,4.074196522
0.43127228,3.762396895
2.349251321,5.09404918
1.48486271,2.799794673
-1.293362619,2.124709718
-0.584663835,2.566460137
2.287444911,5.08517378
0.897339713,4.828378696
-1.58983443,1.626752091
-0.595200795,2.616092729
-0.059383667,3.897068731
1.083030787,3.696515279
1.62035691,3.795437618
-0.300847892,2.442029797
-0.211411492,3.198735901
0.688401377,3.882230125
3.534444507,6.089379413
-0.102646117,4.0193232
0.129244363,2.322895134
0.212858093,4.709323964
0.664597502,2.84649894
1.24469958,4.142695772
2.698538705,5.195626948
0.355875628,4.615947553
0.561399498,4.093678283
0.396084058,3.154012067
-0.130106728,2.513733581
0.873801778,3.712110102
0.910819985,2.930590771
1.695255492,4.188740333
2.593888643,5.156076825
0.736536191,4.811483856
1.046279086,4.679340922
0.134308472,3.867782187
1.780154521,5.036294735
-0.097754036,2.204832316
1.951164258,3.985746379
2.62558125,5.20594304
0.908010067,3.625758001
1.852312438,4.538800863
2.242462447,4.612009543
0.38406021,4.70854387
1.132054358,3.728351456
1.589081643,5.335771309
2.424242002,6.353668381
0.196849936,3.794127806
1.458321157,5.346863472
1.339659674,4.30572413
1.247542583,4.955944447
2.270106741,4.101275854
0.739060572,4.357497998
-0.376088658,1.393356829
0.70295468,4.320503616
1.48655531,4.45441608
2.373327749,3.83439247
1.205298013,3.46401273
0.891588639,3.870596238
1.448819576,2.784110347
1.650504897,4.33126476
0.802132311,3.715913694
0.041492586,2.103583425
1.026872734,5.604090354
0.372776083,4.695683481
1.973488858,5.14516112
1.941932488,4.160150038
0.258062524,3.522923628
1.722061428,4.444103032
0.97050838,4.368859627
0.639388448,3.342672202
-0.226427087,2.826937207
3.483508863,5.085896662
1.133368001,4.473442195
0.477304882,3.891287623
1.032567888,2.649493849
1.154556078,4.465946832
-1.17070471,2.497539874
0.597806801,4.500091359
2.553676899,4.426777986
-0.429026473,2.557016591
1.641921009,5.196317816
1.375179348,4.752299984
0.915177469,4.703425773
1.933926736,5.434928675
1.911891436,3.605523553
1.644504692,4.943478234
-0.312741319,2.718836736
1.475979767,3.969505343
2.099015704,5.273349932
2.774934901,6.051029349
0.057768414,3.246324116
2.031852676,3.675482539
0.457328966,3.940394269
-0.088327988,4.210493324
0.10399637,2.979131091
0.123962773,3.650679461
1.945134314,5.655651216
-0.525440574,2.616484131
0.928196374,3.755492528
1.969000727,5.598380662
0.518665075,2.920081696
1.633838688,4.630338399
0.442560531,2.862353292
1.232491301,3.834130838
1.427296667,4.394372783
2.513503422,5.010861441
-0.088759908,3.137958608
2.002327168,4.646387263
0.106703827,2.894671086
0.890848188,3.60582937
1.124413535,3.974027755
0.146795991,3.954064339
0.964973922,3.525226883
1.248338981,4.053709446
0.634687463,4.721299796
0.130740669,3.793317139
0.699715044,3.582668117
-0.005401816,3.645006394
-0.132921153,3.338336573
3.641238801,5.807471325
-0.803880529,3.08079763
1.392461828,4.794443016
2.540999566,4.918992059
3.493135271,5.844817496
1.416721308,3.837365876
-0.257133972,3.706813893
2.426234251,5.243973491
1.61139123,4.221975506
0.174359195,3.351270175
-0.7592377,2.295076552
0.493670657,3.391175365
0.021136904,2.990695477
2.492842185,5.991487521
1.429527638,4.860431003
1.532347121,3.623796832
0.946256681,4.537119229
0.828443718,3.355158757
0.7882938,4.779979699
0.522128961,3.6858269
2.556250617,4.682429227
-0.31954939,2.345505668
0.234075457,3.512215365
-0.348039849,3.061596087
0.919069494,3.782077273
-0.29896479,2.29204695
0.375037068,3.363997271
1.254426785,4.085081589
1.223174652,3.535016752
0.904245095,3.734804624
1.053716437,3.775237895
1.121223531,3.430251505
2.643461657,4.575282294
1.416342239,3.692225627
1.230558243,4.285018141
1.050408799,3.041397303
0.353346861,3.82307608
0.818216337,3.897957001
2.325291297,4.69999574
1.808625929,4.072834022
0.473872432,3.687487441
0.555992627,3.470330117
0.798126905,4.425147775
1.345792367,5.01290503
0.875768666,4.314388254
1.033106621,3.924440779
0.164158138,3.833125488
2.2817425,5.218450784
1.472698514,5.484722059
0.930542541,3.958109023
1.239449236,4.063047576
0.672798296,4.234599557
1.892018744,5.41713629
1.410422901,4.488611674
-1.276314386,2.486081801
-0.143459361,4.250621346
-0.1502938,2.297194367
1.704855325,4.451894773
2.352781798,5.192528119
